MSO Group Name,Shop,WeekEndingCY,Net Sales - CY,Sales / Day,Net Sales - PY,Net Sales - YoY %,CPD,CPD - PY,Cars,Cars - PY,Cars - YoY %,Discounts $ - CY,Discounts % - CY,Discounts per Car - CY,Net ARO - CY,Net ARO - PY,Net ARO - YoY %,Prem Oil % - CY,Premium Oil % - PY,High Mileage Opportunity - CY,Big 5 % - CY,Air Filter % - CY,Wiper Blades % - CY,Premium Wiper Blades % - CY,Cabin Filter % - CY,Coolant % - CY,Fuel System Cleaner % - CY ,Oil Change Ticket Average - CY,BayTime,Customers New % - CY,Customers Repeat % - CY,Emission Tickets - CY,Emission Gross ARO - CY,Emissions with Oil Change Tickets - CY,Emissions with Big 5 % - CY,Emissions Penetration %,Fleet % of Oil Changes - CY,Fleet % of Oil Changes - PY,Fleet ARO - CY,Fleet Discount $ - CY,Fleet Discount % - CY,Fleet Net Sales - CY,Fleet Oil Changes - CY
WSM Ventures,1198,1/7/2023,"$19,174.17","$3,196",$0.00,-,35.8,0.0,215,0,0.0%,"$1,697.31",8.1%,$7.89,$89.18,$0.00,-100.0%,77.7%,0.0%,0.0%,37.7%,22.8%,6.5%,4.2%,5.6%,2.8%,0.0%,$88.13,11.2,28.7%,71.3%,0,$0.00,0,0.0%,0.0%,1.9%,0.0%,$70.09,$99.46,26.2%,$280.35,4
WSM Ventures,1199,1/7/2023,"$22,485.27","$3,748",$0.00,-,40.0,0.0,240,0,0.0%,"$1,327.02",5.6%,$5.53,$93.69,$0.00,-100.0%,80.8%,0.0%,0.0%,34.2%,18.3%,11.7%,7.5%,2.5%,1.7%,0.0%,$92.75,9.0,30.5%,69.5%,0,$0.00,0,0.0%,0.0%,2.5%,0.0%,$87.69,$159.87,23.3%,$526.16,6
WSM Ventures,1200,1/7/2023,"$23,373.63","$3,896",$0.00,-,39.2,0.0,235,0,0.0%,$868.47,3.6%,$3.70,$99.46,$0.00,-100.0%,77.9%,0.0%,0.0%,32.3%,19.1%,7.2%,6.0%,3.0%,3.0%,0.0%,$97.10,11.6,29.1%,70.9%,33,$36.78,7,0.0%,14.0%,3.0%,0.0%,$102.67,$74.08,9.3%,$718.67,7
WSM Ventures,1201,1/7/2023,"$18,301.13","$3,050",$0.00,-,31.3,0.0,188,0,0.0%,"$2,288.41",11.1%,$12.17,$97.35,$0.00,-100.0%,84.0%,0.0%,0.0%,62.2%,30.9%,2.1%,0.5%,19.7%,9.6%,0.0%,$96.25,9.3,30.0%,70.0%,0,$0.00,0,0.0%,0.0%,9.6%,0.0%,$46.19,$296.12,26.3%,$831.46,18
WSM Ventures,1202,1/7/2023,"$28,525.25","$4,754",$0.00,-,47.5,0.0,285,0,0.0%,"$1,765.44",5.8%,$6.19,$100.09,$0.00,-100.0%,80.7%,0.0%,0.0%,41.4%,23.2%,6.3%,4.6%,6.3%,5.6%,0.0%,$99.00,9.8,34.8%,65.2%,0,$0.00,0,0.0%,0.0%,1.4%,0.0%,$37.49,$61.96,29.2%,$149.96,4
WSM Ventures,1203,1/7/2023,"$10,595.85","$1,766",$0.00,-,21.2,0.0,127,0,0.0%,"$1,627.30",13.3%,$12.81,$83.43,$0.00,-100.0%,74.0%,0.0%,0.0%,32.3%,21.3%,5.5%,2.4%,3.9%,1.6%,0.0%,$83.43,12.1,58.9%,41.1%,0,$0.00,0,0.0%,0.0%,10.2%,0.0%,$65.77,$215.14,20.1%,$855.00,13
WSM Ventures,1204,1/7/2023,$0.00,$0,$0.00,-,0.0,0.0,0,0,0.0%,$0.00,0.0%,$0.00,$0.00,$0.00,-100.0%,0.0%,0.0%,0.0%,0.0%,-,-,-,-,-,-,-,0.0,0.0%,0.0%,0,$0.00,0,0.0%,-,0.0%,0.0%,-,$0.00,0.0%,$0.00,0
WSM Ventures,1205,1/7/2023,"$17,232.63","$2,872",$0.00,-,32.3,0.0,194,0,0.0%,"$1,899.09",9.9%,$9.79,$88.83,$0.00,-100.0%,77.8%,0.0%,0.0%,36.6%,14.9%,8.8%,7.7%,8.2%,4.6%,0.0%,$88.83,9.3,65.9%,34.1%,0,$0.00,0,0.0%,0.0%,4.6%,0.0%,$73.67,$170.68,20.5%,$663.02,9
WSM Ventures,1206,1/7/2023,"$11,616.12","$1,936",$0.00,-,21.7,0.0,130,0,0.0%,"$1,085.69",8.5%,$8.35,$89.35,$0.00,-100.0%,86.2%,0.0%,0.0%,30.0%,22.3%,7.7%,2.3%,0.0%,0.0%,0.0%,$88.95,9.4,46.5%,53.5%,0,$0.00,0,0.0%,0.0%,3.8%,0.0%,$74.21,$90.26,19.6%,$371.06,5
WSM Ventures,1207,1/7/2023,"$10,054.50","$1,676",$0.00,-,21.0,0.0,126,0,0.0%,"$1,349.72",11.8%,$10.71,$79.80,$0.00,-100.0%,75.4%,0.0%,0.0%,23.0%,19.0%,3.2%,0.0%,0.8%,0.0%,0.0%,$79.61,11.7,51.8%,48.2%,0,$0.00,0,0.0%,0.0%,8.7%,0.0%,$47.26,$162.89,23.9%,$519.84,11
WSM Ventures,1598,1/7/2023,"$15,007.13","$2,501",$0.00,-,27.8,0.0,167,0,0.0%,"$1,325.17",8.1%,$7.94,$89.86,$0.00,-100.0%,77.8%,0.0%,0.0%,31.7%,15.0%,4.2%,1.8%,6.0%,6.6%,0.0%,$89.86,9.8,33.3%,66.7%,0,$0.00,0,0.0%,0.0%,9.6%,0.0%,$68.28,$332.86,23.4%,"$1,092.41",16
WSM Ventures,1599,1/7/2023,"$18,543.04","$3,091",$0.00,-,33.8,0.0,203,0,0.0%,$948.03,4.9%,$4.67,$91.35,$0.00,-100.0%,86.7%,0.0%,0.0%,33.0%,18.7%,6.9%,4.9%,5.9%,1.5%,0.0%,$90.95,9.8,33.0%,67.0%,0,$0.00,0,0.0%,0.0%,4.4%,0.0%,$75.27,$105.37,13.5%,$677.47,9
WSM Ventures,1600,1/7/2023,"$13,269.09","$2,654",$0.00,-,32.0,0.0,160,0,0.0%,"$1,246.94",8.6%,$7.79,$82.93,$0.00,-100.0%,74.4%,0.0%,0.0%,26.9%,10.6%,7.5%,2.5%,5.6%,3.1%,0.0%,$81.39,10.7,23.4%,76.6%,0,$0.00,0,0.0%,0.0%,10.6%,0.0%,$78.87,$366.13,21.4%,"$1,340.78",17
WSM Ventures,1198,1/14/2023,"$23,395.96","$3,342",$0.00,-,37.9,0.0,265,0,0.0%,"$2,156.14",8.4%,$8.14,$88.29,$0.00,-100.0%,83.0%,0.0%,0.0%,30.6%,20.4%,5.3%,2.3%,3.0%,1.9%,0.0%,$87.31,11.3,29.3%,71.0%,0,$0.00,0,0.0%,0.0%,5.3%,0.0%,$61.92,$234.72,21.3%,$866.92,14
WSM Ventures,1199,1/14/2023,"$20,265.37","$2,895",$0.00,-,30.7,0.0,215,0,0.0%,"$1,025.59",4.8%,$4.77,$94.26,$0.00,-100.0%,86.5%,0.0%,0.0%,27.9%,16.7%,7.9%,4.7%,1.9%,1.4%,0.0%,$94.24,9.7,34.9%,67.4%,0,$0.00,0,0.0%,0.0%,3.7%,0.0%,$92.42,$164.81,18.2%,$739.39,8
